Series,Date,Total Count,Positive,Neutral,Negative,Source,Country
MorningConsult,2022-07-12 00:00:00,,76.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=0,India
MorningConsult,2022-07-19 00:00:00,,74.0,,21.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=1,India
MorningConsult,2022-07-26 00:00:00,,75.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=2,India
MorningConsult,2022-08-02 00:00:00,,75.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=3,India
MorningConsult,2022-08-09 00:00:00,,74.0,,21.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=4,India
MorningConsult,2022-08-16 00:00:00,,74.0,,21.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=5,India
MorningConsult,2022-08-23 00:00:00,,75.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=6,India
MorningConsult,2022-08-30 00:00:00,,75.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=7,India
MorningConsult,2022-09-06 00:00:00,,75.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=8,India
MorningConsult,2022-09-16 00:00:00,,76.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=9,India
MorningConsult,2022-09-23 00:00:00,,76.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=10,India
MorningConsult,2022-09-30 00:00:00,,77.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=11,India
MorningConsult,2022-10-07 00:00:00,,76.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=12,India
MorningConsult,2022-10-14 00:00:00,,77.0,,19.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=13,India
MorningConsult,2022-10-18 00:00:00,,76.0,,20.0,https://docs.google.com/spreadsheets/d/1jfX_VzLQHM5naj5P7QIE0bQFLh7OlMfoETdQwwZHuzc/edit#gid=14,India
MorningConsult,2022-10-22 00:00:00,,75.0,,21.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-10-28 00:00:00,,75.0,,20.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-11-04 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-11-11 00:00:00,,76.0,,20.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-11-18 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-11-25 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-12-02 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-12-16 00:00:00,,77.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-12-23 00:00:00,,77.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2022-12-30 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-01-06 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-01-13 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-01-20 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-01-27 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-02-03 00:00:00,,79.0,,17.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-02-10 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-02-17 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-02-24 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-03-03 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-03-10 00:00:00,,77.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-03-17 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-03-24 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-03-31 00:00:00,,78.0,,18.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-04-04 00:00:00,,77.0,,19.0,https://MorningConsult.com/global-leader-approval/,India
MorningConsult,2023-04-11 00:00:00,,76.0,,19.0,https://MorningConsult.com/global-leader-approval/ ,India
MorningConsult,2023-04-18 00:00:00,,78.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-04-25 00:00:00,,79.0,,16.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-05-01 00:00:00,,78.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-05-09 00:00:00,,78.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-05-16 00:00:00,,78.0,,17.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-05-23 00:00:00,,77.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-05-30 00:00:00,,76.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-06-06 00:00:00,,77.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-06-13 00:00:00,,75.0,,21.0,https://drive.google.com/drive/u/0/folders/1HNOcv-Nu85QqbpjbpXAQ5PMsOr_3-P2V,India
MorningConsult,2023-06-14 00:00:00,,77.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-06-21 00:00:00,,76.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-06-27 00:00:00,,77.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-07-01 00:00:00,,78.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-07-09 00:00:00,,76.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-07-16 00:00:00,,78.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-07-23 00:00:00,,78.0,,17.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-07-30 00:00:00,,76.0,,20.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-08-06 00:00:00,,76.0,,19.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-08-13 00:00:00,,76.0,,20.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-08-20 00:00:00,,74.0,,20.0,https://pro.MorningConsult.com/trackers/global-leader-approval#leader-approval-over-time,India
MorningConsult,2023-09-16 00:00:00,,76.0,,18.0,https://timesofindia.indiatimes.com/india/pm-modi-most-popular-global-leader-with-76-approval-rating-survey/articleshow/103690703.cms?from=mdr,India
MorningConsult,2023-10-12 00:00:00,,78.0,,18.0,https://drive.google.com/drive/folders/1MNgDypJCUZGo2YmmqlC9cCy3i6YZY43p,India
MorningConsult,2023-10-19 00:00:00,,77.0,,19.0,MorningConsult,India
MorningConsult,2024-09-04 00:00:00,,72.0,6.0,22.0,https://pollitik.slack.com/files/U071X1H93L1/F07LG05DGV7/file.jpg,India
MorningConsult,2024-10-02 00:00:00,,73.0,6.0,21.0,https://pro.morningconsult.com/trackers/global-leader-approval,India
MorningConsult,2024-11-05 00:00:00,,75.0,6.0,19.0,https://pro.morningconsult.com/trackers/global-leader-approval,India
MorningConsult,2024-12-03 00:00:00,,76.0,6.0,18.0,https://archive.ph/f9Y4k,India
MorningConsult,2025-01-09 00:00:00,,74.0,6.0,20.0,https://pro.morningconsult.com/trackers/global-leader-approval,India
MorningConsult,2025-01-27 00:00:00,,75.0,7.0,19.0,Global Leader Approval Rating Tracker | Morning Consult,India
MorningConsult,2025-07-10 00:00:00,,75.0,,18.0,https://pro.morningconsult.com/trackers/global-leader-approval?utm_source=newsletter&utm_medium=email&utm_campaign=our_best_intel&utm_content=071125,India
MorningConsult,2024-03-08 00:00:00,,75.0,,18.0,https://pro.MorningConsult.com/trackers/global-leader-approval,India
MorningConsult,2024-04-04 00:00:00,,75.0,6.0,19.0,MorningConsult 4/4/2024 - Google Docs,India
MorningConsult,2024-05-07 00:00:00,,74.0,5.0,21.0,pro.MorningConsult.com/trackers/global-leader-approval,India
MorningConsult,2024-07-16 00:00:00,,69.0,,24.0,https://www.statista.com/statistics/1456852/world-leader-approval-ratings/,India
MorningConsult,2025-01-08 00:00:00,,74.0,,20.0,https://drive.google.com/drive/u/0/folders/1HNOcv-Nu85QqbpjbpXAQ5PMsOr_3-P2V,India
MorningConsult,2025-01-27 00:00:00,,75.0,,19.0,https://www.visualcapitalist.com/charted-approval-ratings-of-24-world-leaders-in-2025/#google_vignette,India
MorningConsult,2025-04-07 00:00:00,,73.0,,21.0,https://drive.google.com/drive/home,India
MorningConsult,2025-06-09 00:00:00,,78.0,,17.0,https://drive.google.com/drive/u/0/folders/1HNOcv-Nu85QqbpjbpXAQ5PMsOr_3-P2V,India
MorningConsult,2025-07-10 00:00:00,,75.0,,18.0,https://drive.google.com/drive/home,India
MorningConsult,2025-08-09 00:00:00,,72.0,7.0,21.0,https://archive.ph/NOUh9,India
MorningConsult,2025-09-09 00:00:00,,71.0,,22.0,https://docs.google.com/spreadsheets/d/1MRd2odFYYnEFTVTD1AKI-ZZipom839M4/edit?gid=1503732994#gid=1503732994,India
MorningConsult,2025-10-07 00:00:00,,72.0,,22.0,https://docs.google.com/spreadsheets/d/1MFkq72SqHbZqdvAWCaev0GRtYYT_L7gl/edit?gid=1755455314#gid=1755455314,India
MorningConsult,2025-11-13 00:00:00,,71.0,7.0,22.0,https://docs.google.com/spreadsheets/d/15ct5kwKoq1ScwoKpQpKBk-6Cd0zlu0vet8r-SJcSEeY/edit?usp=sharing,India
MorningConsult,2025-12-15 00:00:00,,71.0,7.0,22.0,https://archive.ph/0b9Jg,India
MorningConsult,2026-01-04 00:00:00,,70.0,7.0,23.0,https://archive.ph/0b9Jg,India
MorningConsult,2026-02-08 00:00:00,,67.0,7.0,26.0,https://archive.ph/dkhGj,India
PRC-PMSupport,2023-08-29 00:00:00,,79.0,,20.0,https://www.pewresearch.org/global/2023/08/29/indians-views-of-modi-and-other-national-leaders/,India
